step,NE_L0,NE_L1,NE_L2,NE_L3,NW_L0,NW_L1,NW_L2,NW_L3,SE_L0,SE_L1,SE_L2,SE_L3,SW_L0,SW_L1,SW_L2,SW_L3
149,9.96,1.28,12.61,4.05,7.52,1.42,9.09,0.0,3.34,0.47,9.01,6.72,0.0,11.38,3.91,3.45
150,11.74,2.72,0.0,5.28,9.37,14.47,7.75,1.21,5.03,1.7,10.36,0.0,1.53,0.0,5.31,4.69
151,1.34,4.14,1.45,6.59,11.21,2.04,9.32,2.35,6.57,2.84,0.0,1.24,3.21,0.0,6.54,5.85
152,3.2,5.34,2.99,4.46,12.93,0.0,10.67,3.65,8.16,4.12,0.0,2.31,4.66,3.02,7.77,6.96
153,5.05,6.66,4.46,0.0,1.46,1.22,11.99,4.88,0.0,5.23,1.33,3.48,6.32,0.0,9.01,7.99
154,6.86,7.96,15.62,0.0,3.16,2.48,0.51,6.17,2.02,6.46,2.54,4.64,7.99,1.15,10.17,0.0
155,8.58,9.27,18.25,0.0,4.68,3.82,0.0,7.28,0.0,7.56,3.88,5.82,9.5,2.23,0.0,1.06
156,10.41,10.49,6.8,1.19,6.33,5.03,1.37,0.0,1.45,0.0,5.24,7.03,10.41,3.29,1.14,2.06
157,12.11,11.65,0.0,2.28,7.81,6.19,2.82,0.0,2.87,0.0,6.65,15.72,0.0,4.34,2.46,3.1
158,13.66,0.0,1.48,3.53,9.24,7.49,13.6,0.0,4.45,1.24,7.85,3.58,0.0,5.45,3.76,4.11
159,3.59,1.3,2.96,11.6,10.7,8.71,14.88,0.0,5.84,2.48,9.1,0.0,0.0,13.92,5.03,5.19
160,0.0,2.59,4.4,13.75,12.16,0.0,16.16,1.25,7.2,3.69,10.28,0.0,1.55,3.02,6.25,6.36
161,1.49,3.9,5.76,2.58,13.75,0.44,17.41,2.32,8.81,4.84,11.52,0.0,3.0,0.0,7.5,7.35
162,3.16,5.09,7.18,0.0,15.19,1.64,3.41,3.37,19.83,5.94,0.0,1.21,4.44,0.0,8.74,8.35
163,4.65,6.26,8.43,0.0,1.38,2.9,4.71,4.47,11.48,7.12,1.17,2.44,5.72,0.0,9.92,9.43
164,6.25,7.58,9.9,0.0,0.0,4.07,6.12,5.52,0.0,8.38,2.6,3.68,7.27,1.07,11.07,0.0
165,7.96,8.8,9.58,1.32,1.45,5.17,7.5,0.0,1.53,0.0,3.9,4.96,8.71,2.22,0.77,1.19
166,9.54,10.0,0.0,2.52,2.89,6.38,8.87,0.0,3.2,0.0,5.26,6.07,22.83,3.3,0.0,2.35
167,11.05,0.0,1.5,3.72,4.48,7.54,10.05,0.0,4.81,0.0,6.67,15.87,14.98,4.4,1.28,3.51
168,12.65,0.0,2.93,10.37,5.98,8.61,20.75,0.0,6.45,1.13,8.13,3.27,2.37,13.29,2.63,4.59
169,14.41,0.0,4.38,12.63,7.36,9.86,10.27,1.09,7.98,2.31,9.62,0.0,0.0,15.51,3.87,5.84
170,16.15,1.16,5.92,0.6,9.05,20.23,0.0,2.34,9.52,3.44,10.92,0.0,1.53,3.85,5.27,7.05
171,17.91,2.4,7.44,0.0,10.75,6.15,1.47,3.58,11.07,4.81,12.34,0.0,2.96,0.0,6.7,8.16
172,6.58,3.69,8.79,1.38,12.47,0.0,2.95,4.69,12.75,6.13,0.0,1.36,4.67,0.0,8.06,9.3
173,0.0,4.94,10.15,2.6,0.0,1.28,4.39,5.84,0.85,7.41,1.51,2.7,6.29,1.11,9.33,0.0
174,1.65,6.22,0.0,3.91,1.67,2.43,5.77,0.0,2.73,0.0,2.96,3.94,7.98,2.26,10.64,0.0
175,3.36,7.64,3.19,5.29,3.32,3.63,7.34,0.0,15.26,0.0,4.52,5.13,9.61,3.59,11.93,0.0
176,5.07,9.09,0.0,6.54,4.88,4.97,8.66,0.0,23.93,0.0,6.16,15.11,22.77,4.93,0.67,1.26
177,6.86,0.0,1.71,13.81,6.53,6.2,0.0,1.34,25.56,1.33,7.65,2.85,12.11,13.47,2.2,2.53
178,8.77,1.38,3.28,2.36,8.43,0.0,1.4,2.59,27.54,2.55,9.24,0.0,0.0,15.81,3.76,3.72
179,10.52,2.83,5.04,0.0,10.16,0.0,13.24,3.89,15.04,3.88,10.88,1.35,1.68,2.2,5.18,4.96
180,12.27,4.27,6.59,0.0,0.0,9.97,14.8,5.23,1.73,5.19,12.36,2.78,3.6,0.0,6.55,6.21
181,14.12,5.74,8.19,0.0,1.94,11.41,2.68,6.66,3.69,6.55,0.39,4.05,5.3,0.0,7.92,7.52
182,4.82,7.24,9.84,1.45,3.78,0.0,4.12,8.0,5.43,0.0,1.94,5.3,7.11,0.0,9.34,8.76
183,0.0,8.8,11.38,2.97,5.49,0.0,5.81,9.26,7.16,0.0,3.57,6.61,18.77,1.42,10.69,0.0
184,1.85,0.0,24.08,4.36,7.47,1.44,7.49,0.0,9.01,0.0,5.17,8.02,7.18,2.81,12.15,1.23
185,3.78,1.42,11.56,5.73,9.31,2.75,9.05,0.0,20.27,1.44,6.85,0.0,0.0,10.73,13.53,2.4
186,5.8,2.86,0.0,7.07,0.0,4.22,10.7,1.45,12.29,2.72,8.5,9.62,1.95,13.21,1.35,3.75
187,7.7,4.38,1.71,4.12,2.02,13.83,0.0,2.75,0.0,4.11,9.91,10.95,3.76,0.57,2.77,5.03
188,9.83,5.78,3.38,0.0,3.95,0.42,1.46,4.11,1.88,5.57,0.0,12.15,5.58,0.0,4.33,6.19
189,11.7,7.18,5.04,0.0,5.9,0.0,14.39,5.5,3.59,6.8,1.44,0.0,16.67,0.0,5.66,7.36
190,13.51,8.61,6.63,0.0,7.79,0.0,15.77,6.72,5.29,8.14,2.92,0.0,18.58,0.0,7.17,8.61
191,2.48,9.88,17.58,1.32,9.49,0.0,17.17,8.07,7.24,0.0,4.34,1.2,7.31,1.33,8.45,9.8
192,4.21,11.32,5.08,2.58,11.28,1.3,18.6,0.0,9.12,0.0,5.78,2.37,0.0,2.63,9.8,10.99
193,6.25,0.0,6.47,3.88,12.94,2.54,5.44,1.17,0.0,1.37,7.15,3.64,1.57,3.74,11.11,0.0
194,8.21,0.0,7.98,5.25,1.41,3.8,6.75,2.37,2.49,2.62,8.56,4.78,3.21,12.83,0.15,1.07
195,10.12,0.0,9.46,14.32,0.0,5.13,8.17,3.52,0.0,3.96,9.95,6.06,4.7,1.83,1.4,2.21
196,12.04,1.35,11.03,3.44,0.0,16.85,9.62,4.67,0.0,5.1,11.33,17.32,6.37,0.0,2.67,3.25
197,13.81,2.62,12.55,0.0,1.69,6.81,21.16,5.79,1.79,6.41,12.76,6.27,18.91,0.0,3.85,4.41
198,15.68,3.85,14.12,0.0,3.36,0.0,22.56,6.98,3.46,7.54,14.22,0.0,23.02,0.0,5.06,5.62
199,17.54,5.26,15.45,0.0,4.86,1.19,9.02,8.25,4.98,8.78,15.57,0.0,12.66,1.18,6.24,6.77
